Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaUn-4,27,,,,JaUn-4:27,,native copper,,01,07,,,Yukon Territory,26.36,12.73,0.72,1.4,y,28-0104,yes,"could be native, edge is squared off, thickness varies a bit",,,,,,,2015,,CMH,1980,"Greer, Sheila C. - Consulting Anthropology and Archaeology/First Nations Heritage Studies",2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JbUn-1,1,,,,JbUn-1:1,,copper awl,,06,,,,Yukon Territory,41.75,5.08,3.5,2.9,y,28-0179,yes,"copper awl/barb - sqare cross section, diamond shaped shaft.  One end tapers to a point, the other is fractured (but looks like it would have also tapered to a point)",,,,,,,2015,,CMH,1957,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JcUj-12,341,,,,JcUj-12:341,,flake native copper,,,,,,Yukon Territory,18.96,5.12,1.08,0.4,y,28-0175,yes,"could be a small, rudimentary point",,,see photos,,,,2015,,CMH,1982,"Greer, Sheila C. - Consulting Anthropology and Archaeology/First Nations Heritage Studies",2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JcUw-3,2,,,,JcUw-3:2,,native copper arrow point,01,09,,,,Yukon Territory,43.79,13.15,2.43,3.4,y,28-0099,yes,"copper projectile point, very wide tang.  Blade is leaf shaped.  Tang is rectangular and tapers to a flat edge.  Obvious remnants of hammering from a nugget",,,,,,,2015,,CMH,1980,"Hunston, Mr. Jeff - Yukon Tourism, Heritage Branch",2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JfVg-6,1,,,,JfVg-6:1,,piece of copper,,15,,,,Yukon Territory,27.41,8.1,0.74,0.8,y,28-0095,yes,"flat fragment, appears to have a channel on the back, possibly from articulating with something else",,,,,,,2015,,CMH,1978,"Van Dyke , PhD, Dr. Stan",2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JhVf-4,42375,,,,JhVf-4:1-6,,copper fragment,,,,,,Yukon Territory,,,,,,,missing,missing,,,,,,,2015,,CMH,1960,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JhVf-4,42432,,,,JhVf-4:3-3,,copper fish gorge,,,,,,Yukon Territory,,,,,,,?,,,,,,,,2015,,CMH,1960,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiNd-1,12,,,,JiNd-1:12,,copper arrowhead,01,09,,,,NWT,38.46,12.84,1.92,3,y,28-0249,yes,"copper arrowhead.  Pointed, leaf shaped shoulders @ proximal end.  Tang is rectangular, similar to other southern Yukon points (see JcUw-3:2).  Tang is fractured.  Sharpened all around shoulders to tang",,,,,,,2015,,CMH,1981,"Disain, T.",2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiVr-1,348,,,,JiVr-1:6-2f 348,, Copper fish hook barb,,06,,,,Yukon Territory,32.58,3.6,2.12,1.2,y,28-0091,yes,"barb/awl.  Rectangular X section, tapers to point at one end and edge at the other.  Artifact labeled JiVs-1: 6 2f 348",,,,,,,2015,,CMH,1959,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiVr-1,351,,,,JiVr-1:15-2b 351,, Copper tinkler,,11,,,,Yukon Territory,15.5,6,0.89,0.7,y,28-0087,yes,artifact labeled JiVs-1:15-2b 351,,,,,,,2015,,CMH,1959,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
